suite,track,test,title,feature,elements,status,visual_status,issue_type,reason,changed_ratio,content_changed_ratio,mae,source,reference_image,rendered_image,diff_image,upstream
resvg-test-suite,diagnostic,painting/stroke-dasharray/zero-sum.svg,Zero sum,painting/stroke-dasharray,rect|svg,PASS,PASS,none,visual-match,0.0,0.0,0.006154666666666667,corpora/resvg-test-suite/svg/painting/stroke-dasharray/zero-sum.svg,corpora/resvg-test-suite/reference/painting/stroke-dasharray/zero-sum.png,assets/rendered/resvg-test-suite/painting/stroke-dasharray/zero-sum.png,assets/diff/resvg-test-suite/painting/stroke-dasharray/zero-sum.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dasharray/zero-sum.svg
resvg-test-suite,diagnostic,painting/stroke-dashoffset/default.svg,Default value,painting/stroke-dashoffset,circle|rect|svg,PASS,PASS,none,visual-match,0.004472,0.06510800196367207,0.326356,corpora/resvg-test-suite/svg/painting/stroke-dashoffset/default.svg,corpora/resvg-test-suite/reference/painting/stroke-dashoffset/default.png,assets/rendered/resvg-test-suite/painting/stroke-dashoffset/default.png,assets/diff/resvg-test-suite/painting/stroke-dashoffset/default.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dashoffset/default.svg
resvg-test-suite,diagnostic,painting/stroke-dashoffset/em-units.svg,`em` units,painting/stroke-dashoffset,circle|rect|svg,FAIL,FAIL,visual-mismatch,visual-diff,0.083704,0.7710588144667412,15.639406666666666,corpora/resvg-test-suite/svg/painting/stroke-dashoffset/em-units.svg,corpora/resvg-test-suite/reference/painting/stroke-dashoffset/em-units.png,assets/rendered/resvg-test-suite/painting/stroke-dashoffset/em-units.png,assets/diff/resvg-test-suite/painting/stroke-dashoffset/em-units.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dashoffset/em-units.svg
resvg-test-suite,diagnostic,painting/stroke-dashoffset/mm-units.svg,`mm` units,painting/stroke-dashoffset,circle|rect|svg,PASS,PASS,none,visual-match,0.004432,0.06465544219815986,0.3523773333333333,corpora/resvg-test-suite/svg/painting/stroke-dashoffset/mm-units.svg,corpora/resvg-test-suite/reference/painting/stroke-dashoffset/mm-units.png,assets/rendered/resvg-test-suite/painting/stroke-dashoffset/mm-units.png,assets/diff/resvg-test-suite/painting/stroke-dashoffset/mm-units.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dashoffset/mm-units.svg
resvg-test-suite,diagnostic,painting/stroke-dashoffset/negative-value.svg,Negative value,painting/stroke-dashoffset,circle|rect|svg,PASS,PASS,none,visual-match,0.004584,0.06715063520871144,0.33953066666666665,corpora/resvg-test-suite/svg/painting/stroke-dashoffset/negative-value.svg,corpora/resvg-test-suite/reference/painting/stroke-dashoffset/negative-value.png,assets/rendered/resvg-test-suite/painting/stroke-dashoffset/negative-value.png,assets/diff/resvg-test-suite/painting/stroke-dashoffset/negative-value.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dashoffset/negative-value.svg
resvg-test-suite,diagnostic,painting/stroke-dashoffset/percent-units.svg,`%` units,painting/stroke-dashoffset,circle|rect|svg,PASS,PASS,none,visual-match,0.004304,0.06490184794424196,0.31754133333333334,corpora/resvg-test-suite/svg/painting/stroke-dashoffset/percent-units.svg,corpora/resvg-test-suite/reference/painting/stroke-dashoffset/percent-units.png,assets/rendered/resvg-test-suite/painting/stroke-dashoffset/percent-units.png,assets/diff/resvg-test-suite/painting/stroke-dashoffset/percent-units.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dashoffset/percent-units.svg
resvg-test-suite,diagnostic,painting/stroke-dashoffset/px-units.svg,`px` units,painting/stroke-dashoffset,circle|rect|svg,PASS,PASS,none,visual-match,0.004584,0.06715063520871144,0.33953066666666665,corpora/resvg-test-suite/svg/painting/stroke-dashoffset/px-units.svg,corpora/resvg-test-suite/reference/painting/stroke-dashoffset/px-units.png,assets/rendered/resvg-test-suite/painting/stroke-dashoffset/px-units.png,assets/diff/resvg-test-suite/painting/stroke-dashoffset/px-units.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-dashoffset/px-units.svg
resvg-test-suite,diagnostic,painting/stroke-linecap/butt.svg,`butt`,painting/stroke-linecap,line|rect|svg,PASS,PASS,none,visual-match,0.0,0.0,0.0027933333333333334,corpora/resvg-test-suite/svg/painting/stroke-linecap/butt.svg,corpora/resvg-test-suite/reference/painting/stroke-linecap/butt.png,assets/rendered/resvg-test-suite/painting/stroke-linecap/butt.png,assets/diff/resvg-test-suite/painting/stroke-linecap/butt.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-linecap/butt.svg
resvg-test-suite,diagnostic,painting/stroke-linecap/open-path-with-butt.svg,Open path with `butt`,painting/stroke-linecap,path|rect|svg,PASS,PASS,none,visual-match,0.0,0.0,0.004237333333333333,corpora/resvg-test-suite/svg/painting/stroke-linecap/open-path-with-butt.svg,corpora/resvg-test-suite/reference/painting/stroke-linecap/open-path-with-butt.png,assets/rendered/resvg-test-suite/painting/stroke-linecap/open-path-with-butt.png,assets/diff/resvg-test-suite/painting/stroke-linecap/open-path-with-butt.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-linecap/open-path-with-butt.svg
resvg-test-suite,diagnostic,painting/stroke-linecap/open-path-with-round.svg,Open path with `round`,painting/stroke-linecap,path|rect|svg,PASS,PASS,none,visual-match,0.0,0.0,0.0045119999999999995,corpora/resvg-test-suite/svg/painting/stroke-linecap/open-path-with-round.svg,corpora/resvg-test-suite/reference/painting/stroke-linecap/open-path-with-round.png,assets/rendered/resvg-test-suite/painting/stroke-linecap/open-path-with-round.png,assets/diff/resvg-test-suite/painting/stroke-linecap/open-path-with-round.png,https://github.com/linebender/resvg-test-suite/blob/d8e064337faf01bc5a9579187a56dbdbe3eacc72/tests/painting/stroke-linecap/open-path-with-round.svg
